month,state,cases,deaths,cases_growth_rate,deaths_growth_rate,mortality_rate,mortality_rate_change
2020-01,Arizona,6,0.0,0.0,0.0,0.0,0.0
2020-01,California,14,0.0,0.0,0.0,0.0,0.0
2020-01,Illinois,10,0.0,0.0,0.0,0.0,0.0
2020-01,Washington,11,0.0,0.0,0.0,0.0,0.0
2020-02,Arizona,29,0.0,3.833333333333333,0.0,0.0,0.0
2020-02,California,285,0.0,19.357142857142858,0.0,0.0,0.0
2020-02,Illinois,59,0.0,4.9,0.0,0.0,0.0
2020-02,Massachusetts,29,0.0,0.0,0.0,0.0,0.0
2020-02,Nebraska,151,0.0,0.0,0.0,0.0,0.0
2020-02,Oregon,2,0.0,0.0,0.0,0.0,0.0
2020-02,Texas,91,0.0,0.0,0.0,0.0,0.0
2020-02,Utah,5,0.0,0.0,0.0,0.0,0.0
2020-02,Washington,60,1.0,4.454545454545454,0.0,1.6666666666666667,0.0
2020-02,Wisconsin,25,0.0,0.0,0.0,0.0,0.0
2020-03,Alabama,6129,42.0,0.0,0.0,0.6852667645619187,0.0
2020-03,Alaska,851,8.0,0.0,0.0,0.9400705052878966,0.0
2020-03,Arizona,6830,118.0,234.51724137931035,0.0,1.7276720351390922,0.0
2020-03,Arkansas,3965,36.0,0.0,0.0,0.9079445145018915,0.0
2020-03,California,55406,1113.0,193.40701754385964,0.0,2.008807710356279,0.0
2020-03,Colorado,18603,344.0,0.0,0.0,1.8491641133150567,0.0
2020-03,Connecticut,14606,283.0,0.0,0.0,1.9375599068875804,0.0
2020-03,Delaware,1887,31.0,0.0,0.0,1.6428192898781133,0.0
2020-03,District of Columbia,2923,41.0,0.0,0.0,1.4026684912760863,0.0
2020-03,Florida,35597,489.0,0.0,0.0,1.3737112678034666,0.0
2020-03,Georgia,22119,699.0,0.0,0.0,3.1601790316017904,0.0
2020-03,Guam,594,11.0,0.0,0.0,1.8518518518518516,0.0
2020-03,Hawaii,1474,1.0,0.0,0.0,0.06784260515603799,0.0
2020-03,Idaho,2359,34.0,0.0,0.0,1.4412886816447648,0.0
2020-03,Illinois,33167,450.0,561.1525423728814,0.0,1.3567702837157416,0.0
